TITULO,AUTHOR,EDITORIAL,PRICE,CATEGORIA,DESCRIPCION,PORTADA,STADO
"Narnia: El caballo y el muchacho","C. S. Lewis",Destino,1400,NULL,NULL,NULL,Usado
"El síndrome de Anastasia y otros relatos","Mary Higgins Clark","Plaza & James",550,NULL,NULL,NULL,Usado
"Mi querida Sunday","Mary Higgins Clark","Plaza & James",550,NULL,NULL,NULL,Usado
"La estrella robada","Mary Higgins Clark","Plaza & James",NULL,NULL,NULL,NULL,Usado
"Gracias por el fuego","Mario Benedetti",Alfa,600,NULL,NULL,NULL,Usado
"Muerte de un forense","P. D. James",Prosa,550,NULL,NULL,NULL,Usado
"La madre","Pearl S. Buck","Plaza & James",550,NULL,NULL,NULL,Usado
Reencuentro,"Anne Rivers Siddons",Emece,550,NULL,NULL,NULL,Usado
"Gente legal","Lisa Scottoline",Mondadori,550,NULL,NULL,NULL,Usado
"Un pequeño detalle","Jessica Barksdale Inclán",Vergara,600,NULL,NULL,NULL,Usado
"Robo para la corona","Horacio Verbitsky",Planeta,650,NULL,NULL,NULL,Usado
"Flores en la lluvia","Rosamunde Pilcher",Emece,550,NULL,NULL,NULL,Usado
"Retrato de familia","Barbara Delinsky",Emece,650,NULL,NULL,NULL,Usado
"Ella es tan dulce","Susan Elizabeth Phillips",Vergara,650,NULL,NULL,NULL,Usado
"Adicta al trabajo","Julia London",Esencia,650,NULL,NULL,NULL,Usado
"El trono codiciado","Víctoria Holt",Planeta,550,NULL,NULL,NULL,Usado
Frivolidad,"Juan Forn",Planeta,800,NULL,NULL,NULL,Usado
"La prostituta de Pentecost Alley","Anne Perry","Plaza & James",600,NULL,NULL,NULL,Usado
"No hay un amor más grande","Danielle Steel",Debolsillo,NULL,NULL,NULL,NULL,Usado
"Cuando late un corazón","Danielle Steel",Sudamericana,550,NULL,NULL,NULL,Usado
"Pacto de sangre","James Cain",Emece,650,NULL,NULL,NULL,Nuevo
"La casa de Bernarda Alba","Federico G. Lorca",Agebe,600,NULL,NULL,NULL,Nuevo
"Una extraña pena de amor","Madeleine Chapsal",Atlantida,550,NULL,NULL,NULL,Usado
"La luna del cazador","Victoria Holt",Grijalbo,550,NULL,NULL,NULL,Usado
"El cisne","Gudbergur Bergsson",TusQuets,2300,NULL,NULL,NULL,Nuevo
"Amarse con los ojos abiertos","Jorge Bucay - Silvia Salinas","Del nuevo extremo",700,NULL,NULL,NULL,Usado
"Las fotografías de la muerte","James Hadley Chase",Emece,550,NULL,NULL,NULL,Usado
"El coleccionista","John Fowles",Orbis,800,NULL,NULL,NULL,Usado
"Fuego en Casabindo","Héctor Tizon","La Nacion",750,NULL,NULL,NULL,Nuevo
"El ruido y la furia","William Faulkner","La Nacion",700,NULL,NULL,NULL,Nuevo
"El país de la canela","William Ospina",Mondadori,4500,NULL,NULL,NULL,Nuevo
"La serpiente sin ojos","William Ospina",Mondadori,4500,NULL,NULL,NULL,Nuevo
Ursúa,"William Ospina",Mondadori,4500,NULL,NULL,NULL,Nuevo
"La mitad fantasma","Alan Pauls","Random House",2500,NULL,NULL,NULL,Nuevo
"La casa de la mezquita","Kader Abdolah",Salamandra,1300,NULL,NULL,NULL,Nuevo
"La mujer en la luna","Milena Agus",Edhasa,1800,NULL,NULL,NULL,Nuevo
"El consentimiento","Vanessa Springora",Lumen,1700,NULL,NULL,NULL,Nuevo
"Salvar el fuego","Guillermo Arriaga",Alfaguara,4500,NULL,NULL,NULL,Nuevo
"La buena suerte","Rosa Montero",Alfaguara,3000,NULL,NULL,NULL,Nuevo
"El valle del asombro","Amy Tan",Planeta,1200,NULL,NULL,NULL,Nuevo
